Fuel_transport_8th,Emissions factor (MT/PJ),Economy
7_1_motor_gasoline,0.069363,22_SEA
7_1_motor_gasoline,0.069363,23_NEA
7_1_motor_gasoline,0.069363,23_bONEA
7_1_motor_gasoline,0.069363,24_OAM
7_1_motor_gasoline,0.069363,24_bOOAM
7_1_motor_gasoline,0.069363,25_OCE
7_9_lpg,0.063124,00_APEC
7_9_lpg,0.063124,01_AUS
7_9_lpg,0.063124,02_BD
7_9_lpg,0.063124,03_CDA
7_9_lpg,0.063124,04_CHL
7_9_lpg,0.063124,05_PRC
7_9_lpg,0.063124,06_HKC
7_9_lpg,0.063124,07_INA
7_9_lpg,0.063124,08_JPN
7_9_lpg,0.063124,09_ROK
7_9_lpg,0.063124,10_MAS
7_9_lpg,0.063124,11_MEX
7_9_lpg,0.063124,12_NZ
7_9_lpg,0.063124,13_PNG
7_9_lpg,0.063124,14_PE
7_9_lpg,0.063124,15_PHL
7_9_lpg,0.063124,16_RUS
7_9_lpg,0.063124,17_SGP
7_9_lpg,0.063124,18_CT
7_9_lpg,0.063124,19_THA
7_9_lpg,0.063124,20_USA
7_9_lpg,0.063124,21_VN
7_9_lpg,0.063124,22_SEA
7_9_lpg,0.063124,23_NEA
7_9_lpg,0.063124,23_bONEA
7_9_lpg,0.063124,24_OAM
7_9_lpg,0.063124,24_bOOAM
7_9_lpg,0.063124,25_OCE
7_6_kerosene,0.063124,00_APEC
7_6_kerosene,0.063124,01_AUS
7_6_kerosene,0.063124,02_BD
7_6_kerosene,0.063124,03_CDA
7_6_kerosene,0.063124,04_CHL
7_6_kerosene,0.063124,05_PRC
7_6_kerosene,0.063124,06_HKC
7_6_kerosene,0.063124,07_INA
7_6_kerosene,0.063124,08_JPN
7_6_kerosene,0.063124,09_ROK
7_6_kerosene,0.063124,10_MAS
7_6_kerosene,0.063124,11_MEX
7_6_kerosene,0.063124,12_NZ
7_6_kerosene,0.063124,13_PNG
7_6_kerosene,0.063124,14_PE
7_6_kerosene,0.063124,15_PHL
7_6_kerosene,0.063124,16_RUS
7_6_kerosene,0.063124,17_SGP
7_6_kerosene,0.063124,18_CT
7_6_kerosene,0.063124,19_THA
7_6_kerosene,0.063124,20_USA
7_6_kerosene,0.063124,21_VN
7_6_kerosene,0.063124,22_SEA
7_6_kerosene,0.063124,23_NEA
7_6_kerosene,0.063124,23_bONEA
7_6_kerosene,0.063124,24_OAM
7_6_kerosene,0.063124,24_bOOAM
